stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
6488,環球晶,C 過熱或排除,90.99,100.0,100.0,98.1,57.5,98.1,98.1,94.3,75.5,11,90,27.0,27.0,20.9,16,5.2,4.08,0.021014,0.017544,1,19.4641,45.77,60.34,48.36,930.0,21373.4,近 5 日漲幅 45.8% > 25% — 漲過頭
1503,士電,A 主流形成中,76.23,98.1,98.1,90.6,9.4,100.0,100.0,56.6,30.2,31,70,18.0,18.0,19.2,3,8.11,6.46,0.004994,0.004754,1,1.4275,22.1,17.24,5.26,221.0,4611.5,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +19.2 > 0（資金推升中） | 近 20 日上榜 3 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2379,瑞昱,C 過熱或排除,68.92,96.2,96.2,88.7,31.1,67.9,67.9,30.2,49.1,34,67,10.0,10.0,19.1,9,1.79,1.43,0.01367,0.013566,0,3.7875,6.7,7.84,-4.14,605.0,3652.0,相對強弱未轉強（弱於大盤）
2881,富邦金,A 主流形成中,68.73,94.3,49.1,92.5,46.2,94.3,96.2,69.8,5.7,20,81,-1.0,-1.0,19.4,14,3.94,3.83,0.002485,0.00231,1,0.0965,14.82,24.15,12.17,110.0,10211.6,主流評分排前 6%（全市場 PR） | 近 5 日名次推進速度 +19.4 > 0（資金推升中） | 近 20 日上榜 14 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2882,國泰金,A 主流形成中,68.63,92.5,77.4,84.9,31.1,92.5,84.9,47.2,11.3,26,75,2.0,2.0,18.1,9,2.62,3.52,0.00193,0.001901,1,0.3105,9.63,14.32,2.34,85.4,5968.1,主流評分排前 8%（全市場 PR） | 近 5 日名次推進速度 +18.1 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2454,聯發科,C 過熱或排除,68.25,90.6,61.3,18.9,81.1,86.8,92.5,98.1,98.1,1,100,0.0,0.0,1.6,20,3.16,2.55,0.104843,0.083931,1,120.169,43.65,77.44,65.46,4640.0,84424.5,近 5 日漲幅 43.7% > 25% — 漲過頭
1303,南亞,C 過熱或排除,65.47,87.7,88.7,50.9,81.1,71.7,58.5,26.4,34.0,16,85,4.0,4.0,10.6,20,1.63,1.58,0.002158,0.002135,0,1.479,18.19,6.7,-5.28,95.5,11772.3,相對強弱未轉強（弱於大盤）
3034,聯詠,A 主流形成中,65.47,87.7,93.4,67.9,46.2,52.8,50.9,58.5,54.7,37,64,5.0,5.0,14.5,14,1.52,0.69,0.010959,0.01125,1,5.4675,2.65,17.58,5.59,485.0,3373.4,主流評分排前 12%（全市場 PR） | 近 5 日名次推進速度 +14.5 > 0（資金推升中） | 近 20 日上榜 14 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2344,華邦電,C 過熱或排除,65.42,84.9,61.3,13.2,81.1,96.2,90.6,96.2,43.4,3,98,0.0,0.0,0.9,20,3.12,3.96,0.003502,0.002839,1,2.5867,34.2,62.3,50.32,155.0,68016.6,近 5 日漲幅 34.2% > 25% — 漲過頭
3105,穩懋,C 過熱或排除,64.81,83.0,77.4,34.0,81.1,75.5,75.5,39.6,73.6,9,92,2.0,2.0,3.4,20,1.93,1.66,0.012653,0.012211,1,16.305,25.42,12.11,0.13,560.0,26942.5,近 5 日漲幅 25.4% > 25% — 漲過頭
2308,台達電,C 過熱或排除,63.77,81.1,77.4,11.3,81.1,84.9,64.2,62.3,92.5,6,95,2.0,2.0,0.7,20,1.74,2.53,0.05694,0.052336,1,62.415,31.59,18.59,6.61,2520.0,34962.0,近 5 日漲幅 31.6% > 25% — 漲過頭
2449,京元電子,C 過熱或排除,63.02,79.2,49.1,47.2,81.1,90.6,94.3,37.7,47.2,7,94,-1.0,-1.0,9.3,20,3.32,3.48,0.007129,0.007445,0,3.645,13.69,11.29,-0.69,315.5,29964.8,相對強弱未轉強（弱於大盤）
2451,創見,B 觀察中,62.69,77.4,88.7,79.2,46.2,30.2,34.0,67.9,60.4,41,60,4.0,4.0,17.6,14,1.13,0.19,0.007253,0.007494,1,6.96,3.72,22.75,10.77,321.0,2840.2,主流評分排前 23%（未完全達 A 級條件）
8299,群聯,B 觀察中,61.98,75.5,77.4,17.0,81.1,66.0,52.8,71.7,94.3,10,91,2.0,2.0,1.3,20,1.55,1.28,0.056037,0.058471,1,63.3623,9.49,25.89,13.91,2480.0,25940.3,主流評分排前 24%（未完全達 A 級條件）
