stock_id,stock_name,status,hotflow_score,score_pr,pr_rank_momentum,pr_rank_slope_5d,pr_hot_persistence_20d,pr_amount_z_60d,pr_amount_expansion,pr_rs_combined,pr_weekly_ma20_slope,amount_rank,rank_score,rank_change,rank_momentum,rank_slope_5d,hot_persistence_20d,amount_expansion,amount_z_60d,rs,rs_ma20,rs_trend,weekly_ma20_slope,ret_5d_pct,ret_20d_pct,rs_strength_20d_pct,close,amount_million,classify_reason
3441,聯一光,C 過熱或排除,95.25,100.0,93.8,99.5,86.6,98.8,97.8,99.5,87.0,33,68,5.0,5.0,17.5,8,4.35,2.97,0.003724,0.002871,1,6.0136,28.41,96.64,96.19,169.5,6420.3,近 5 日漲幅 28.4% > 25% — 漲過頭
3406,玉晶光,A 主流形成中,95.03,99.8,98.2,93.9,89.1,95.2,95.8,96.2,97.0,23,78,24.0,24.0,8.0,11,2.9,1.77,0.020105,0.019535,1,25.7657,-9.41,33.58,33.13,915.0,8646.0,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +8.0 > 0（資金推升中） | 近 20 日上榜 11 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3324,雙鴻,A 主流形成中,94.37,99.6,99.5,97.6,87.6,90.8,90.8,94.4,93.6,38,63,92.0,63.0,12.6,9,1.72,0.8,0.027685,0.026816,1,12.2489,-5.97,28.83,28.39,1260.0,5433.3,主流評分排前 0%（全市場 PR） | 近 5 日名次推進速度 +12.6 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3653,健策,A 主流形成中,93.92,99.4,98.8,97.8,96.9,96.6,92.8,64.5,98.0,9,92,31.0,31.0,14.7,20,2.08,2.0,0.116674,0.122447,1,42.9811,-4.32,3.11,2.66,5310.0,13112.3,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +14.7 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
6147,頎邦,A 主流形成中,93.28,99.2,95.2,94.4,91.4,97.0,93.0,92.4,75.8,11,90,9.0,9.0,8.7,14,2.11,2.13,0.004394,0.003921,1,2.7686,7.24,22.32,21.88,200.0,12927.1,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +8.7 > 0（資金推升中） | 近 20 日上榜 14 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
3008,大立光,A 主流形成中,93.27,99.0,93.2,96.2,96.9,91.4,88.8,86.2,99.5,4,97,4.0,4.0,10.4,20,1.41,0.88,0.133043,0.142238,1,218.1075,-6.85,14.46,14.01,6055.0,18096.5,主流評分排前 1%（全市場 PR） | 近 5 日名次推進速度 +10.4 > 0（資金推升中） | 近 20 日上榜 20 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
2305,全友,C 過熱或排除,93.01,98.8,99.5,96.8,76.2,99.5,99.5,98.4,52.5,47,54,64.0,54.0,10.8,1,12.6,6.24,0.000988,0.000701,1,0.9782,35.39,62.86,62.41,44.95,4208.2,近 5 日漲幅 35.4% > 25% — 漲過頭 | 量能爆衝（Z=6.2）但近 20 日僅上榜 1 天 — 缺乏持續性
6226,光鼎,C 過熱或排除,92.38,98.6,99.5,93.0,76.2,99.5,99.5,99.5,52.7,67,34,71.0,34.0,6.8,1,6.93,4.77,0.000798,0.000646,1,0.9915,22.64,72.04,71.59,36.3,2944.5,量能爆衝（Z=4.8）但近 20 日僅上榜 1 天 — 缺乏持續性
3532,台勝科,A 主流形成中,91.5,98.4,98.6,95.4,87.6,86.8,87.2,82.4,92.6,55,46,30.0,30.0,9.6,9,1.28,0.35,0.008943,0.008464,1,11.4492,2.26,10.3,9.85,407.0,3838.3,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +9.6 > 0（資金推升中） | 近 20 日上榜 9 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
00919,00919,A 主流形成中,91.3,98.2,97.8,99.5,86.6,99.5,96.0,77.2,34.1,28,73,22.0,22.0,17.4,8,2.91,3.77,0.000719,0.000693,1,0.4927,0.09,7.91,7.46,32.74,7192.9,主流評分排前 2%（全市場 PR） | 近 5 日名次推進速度 +17.4 > 0（資金推升中） | 近 20 日上榜 8 天（持續被關注） | 相對強弱轉強 + 週線 20 均向上（中長期多頭）
